nVectors,memcpyOut,plan,execu,memcpyIn
13000001,20.589,0.005,17.652,18.682
13000001,20.983,0.004,8.927,20.807
13000001,20.486,0.004,28.406,18.815
13000001,20.579,0.005,8.792,18.475
13000001,20.43,0.003,10.716,18.473
13000001,20.62,0.004,8.403,18.627
13000001,31.268,0.005,30.980,34.798
13000001,19.324,0.005,12.285,18.678
13000001,19.473,0.005,40.419,18.662
13000001,19.453,0.005,24.864,18.742
13000001,19.346,0.005,16.607,18.827
13000001,19.499,0.005,21.601,18.791
13000001,19.122,0.004,48.627,18.787
13000001,19.711,0.004,10.293,18.438
13000001,19.239,0.004,48.915,18.729
13000001,19.439,0.005,10.844,18.496
13000001,19.23,0.005,20.100,18.845
13000001,19.319,0.004,8.479,18.657
13000001,19.473,0.005,7.994,18.695
13000001,19.224,0.004,9.246,18.387
13500001,29.977,0.006,49.793,23.591
13500001,21.64,0.004,40.939,19.808
13500001,21.069,0.005,50.620,19.634
13500001,32.399,0.005,15.088,36.984
13500001,21.238,0.004,9.042,19.597
13500001,21.448,0.004,12.821,19.604
13500001,21.729,0.006,9.735,19.601
13500001,21.262,0.005,41.020,20.231
13500001,21.366,0.004,9.841,19.444
13500001,21.267,0.004,32.421,19.856
13500001,21.365,0.004,12.305,19.691
13500001,32.45,0.004,8.025,37.025
13500001,19.994,0.005,12.506,19.658
13500001,19.984,0.005,40.206,19.658
13500001,20.133,0.004,20.350,19.699
13500001,20.022,0.004,25.510,19.732
13500001,20.096,0.005,22.786,19.773
13500001,19.797,0.004,49.536,19.71
13500001,20.399,0.005,10.169,19.472
13500001,19.831,0.005,51.238,19.708
13500001,19.978,0.005,9.495,19.38
13500001,20.033,0.005,9.018,19.589
13500001,20.238,0.004,8.617,19.508
13500001,20.439,0.004,9.340,21.078
13500001,19.954,0.004,23.492,19.66
14000001,31.892,0.005,49.384,24.678
14000001,22.342,0.004,42.257,20.174
14000001,22.044,0.004,53.121,20.164
14000001,33.471,0.004,15.448,37.956
14000001,22.627,0.005,9.895,21.623
14000001,22.347,0.005,20.088,20.074
14000001,22.655,0.004,9.692,20.07
14000001,22.334,0.005,15.279,20.141
14000001,22.138,0.005,14.880,19.966
14000001,22.337,0.004,36.764,20.219
14000001,22.196,0.004,10.418,19.896
14000001,33.635,0.004,9.241,37.546
14000001,21.18,0.004,15.920,20.159
14000001,21.144,0.004,42.378,20.029
14000001,21.272,0.005,38.348,20.141
14000001,21.079,0.004,8.764,20.186
14000001,21.322,0.004,23.513,20.182
14000001,20.934,0.004,52.400,20.213
14000001,21.566,0.004,10.694,19.956
